Periodos,TIIE
03/01/2022,5.7150
04/01/2022,5.7175
05/01/2022,5.7165
06/01/2022,5.7180
07/01/2022,5.7185
10/01/2022,5.7190
11/01/2022,5.7190
12/01/2022,5.7210
13/01/2022,5.7225
14/01/2022,5.7225
17/01/2022,5.7215
18/01/2022,5.7220
19/01/2022,5.7225
20/01/2022,5.7262
21/01/2022,5.7280
24/01/2022,5.7277
25/01/2022,5.7298
26/01/2022,5.7319
27/01/2022,5.7330
28/01/2022,5.7330
31/01/2022,5.7340
01/02/2022,5.7365
02/02/2022,5.7380
03/02/2022,5.7390
04/02/2022,5.7415
08/02/2022,5.7420
09/02/2022,5.7450
10/02/2022,5.7450
11/02/2022,5.7537
14/02/2022,6.2012
15/02/2022,6.2256
16/02/2022,6.2325
17/02/2022,6.2375
18/02/2022,6.2325
21/02/2022,6.2275
22/02/2022,6.2250
23/02/2022,6.2250
24/02/2022,6.2210
25/02/2022,6.2280
28/02/2022,6.2340
01/03/2022,6.2367
02/03/2022,6.2395
03/03/2022,6.2410
04/03/2022,6.2362
07/03/2022,6.2315
08/03/2022,6.2300
09/03/2022,6.2300
10/03/2022,6.2350
11/03/2022,6.2375
14/03/2022,6.2375
15/03/2022,6.2425
16/03/2022,6.2487
17/03/2022,6.2523
18/03/2022,6.2600
22/03/2022,6.2625
23/03/2022,6.2750
24/03/2022,6.2825
25/03/2022,6.2912
28/03/2022,6.7175
29/03/2022,6.7237
30/03/2022,6.7265
31/03/2022,6.7265
01/04/2022,6.7225
04/04/2022,6.7210
05/04/2022,6.7225
06/04/2022,6.7210
07/04/2022,6.7255
08/04/2022,6.7277
11/04/2022,6.7285
12/04/2022,6.7260
13/04/2022,6.7300
18/04/2022,6.7345
19/04/2022,6.7370
20/04/2022,6.7304
21/04/2022,6.7300
22/04/2022,6.7350
25/04/2022,6.7325
26/04/2022,6.7400
27/04/2022,6.7450
28/04/2022,6.7450
29/04/2022,6.7506
02/05/2022,6.7525
03/05/2022,6.7570
04/05/2022,6.7556
05/05/2022,6.7603
06/05/2022,6.7650
09/05/2022,6.7650
10/05/2022,6.7725
11/05/2022,6.7950
12/05/2022,6.8075
13/05/2022,6.8199
16/05/2022,7.2350
17/05/2022,7.2180
18/05/2022,7.2087
19/05/2022,7.2050
20/05/2022,7.2030
23/05/2022,7.2020
24/05/2022,7.2075
25/05/2022,7.2187
26/05/2022,7.2107
27/05/2022,7.2070
30/05/2022,7.2150
31/05/2022,7.2225
01/06/2022,7.2250
02/06/2022,7.2300
03/06/2022,7.2355
06/06/2022,7.2335
07/06/2022,7.2420
08/06/2022,7.2465
09/06/2022,7.2627
10/06/2022,7.2670
13/06/2022,7.2715
14/06/2022,7.2800
15/06/2022,7.2855
16/06/2022,7.3025
17/06/2022,7.3225
20/06/2022,7.3300
21/06/2022,7.3375
22/06/2022,7.3550
23/06/2022,7.3775
24/06/2022,7.3913
27/06/2022,8.0125
28/06/2022,8.0180
29/06/2022,8.0255
30/06/2022,8.0245
01/07/2022,8.0303
04/07/2022,8.0320
05/07/2022,8.0250
06/07/2022,8.0303
07/07/2022,8.0320
08/07/2022,8.0300
11/07/2022,8.0315
12/07/2022,8.0375
13/07/2022,8.0300
14/07/2022,8.0365
15/07/2022,8.0350
18/07/2022,8.0245
19/07/2022,8.0200
20/07/2022,8.0300
21/07/2022,8.0400
22/07/2022,8.0450
25/07/2022,8.0445
26/07/2022,8.0440
27/07/2022,8.0500
28/07/2022,8.0600
29/07/2022,8.0750
01/08/2022,8.0800
02/08/2022,8.0912
03/08/2022,8.1050
04/08/2022,8.1074
05/08/2022,8.1187
08/08/2022,8.1190
09/08/2022,8.1225
10/08/2022,8.1312
11/08/2022,8.1624
12/08/2022,8.1787
15/08/2022,8.7750
16/08/2022,8.7612
17/08/2022,8.7706
18/08/2022,8.7680
19/08/2022,8.7728
22/08/2022,8.7763
23/08/2022,8.7810
24/08/2022,8.7830
25/08/2022,8.8000
26/08/2022,8.8080
29/08/2022,8.8120
30/08/2022,8.8148
31/08/2022,8.8163
01/09/2022,8.8210
02/09/2022,8.8235
05/09/2022,8.8200
06/09/2022,8.8177
07/09/2022,8.8196
08/09/2022,8.8350
09/09/2022,8.8430
12/09/2022,8.8527
13/09/2022,8.8599
14/09/2022,8.8699
15/09/2022,8.8787
19/09/2022,8.8912
20/09/2022,8.9006
21/09/2022,8.9150
22/09/2022,8.9275
23/09/2022,8.9395
26/09/2022,8.9509
27/09/2022,8.9585
28/09/2022,8.9792
29/09/2022,8.9896
30/09/2022,9.0200
03/10/2022,9.5350
04/10/2022,9.5366
05/10/2022,9.5453
06/10/2022,9.5515
07/10/2022,9.5451
10/10/2022,9.5465
11/10/2022,9.5450
12/10/2022,9.5515
13/10/2022,9.5595
14/10/2022,9.5635
17/10/2022,9.5655
18/10/2022,9.5665
19/10/2022,9.5670
20/10/2022,9.5663
21/10/2022,9.5670
24/10/2022,9.5675
25/10/2022,9.5750
26/10/2022,9.5840
27/10/2022,9.5910
28/10/2022,9.5900
31/10/2022,9.5940
01/11/2022,9.5960
03/11/2022,9.5970
04/11/2022,9.6060
07/11/2022,9.6120
